,sexo_F,sexo_M,posse_de_veiculo_N,posse_de_veiculo_Y,posse_de_imovel_N,posse_de_imovel_Y,possui_fone_comercial_0,possui_fone_comercial_1,possui_fone_0,possui_fone_1,possui_email_0,possui_email_1,mau_False,mau_True,possui_celular_1
3530,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3533,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
3534,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3538,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
3542,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1
3544,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3548,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
3552,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
3555,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
3559,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3565,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
3566,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3567,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3568,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3574,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
3581,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3585,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3586,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3592,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
3594,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3597,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3600,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3601,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3602,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3610,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3615,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3616,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3618,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3619,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3621,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3624,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3625,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
3626,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3627,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3628,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
3630,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1
3632,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3634,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3635,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
3636,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1
3637,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3638,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
3639,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1
3640,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3641,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1
3642,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
3643,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3644,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
3645,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
3646,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
3647,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1
3648,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3649,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
3650,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3651,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3652,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3653,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3654,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3655,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
3656,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3657,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
3658,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
3659,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
3660,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3661,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
3662,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3663,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1
3664,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3666,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3667,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1
3668,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3669,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3670,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3671,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3672,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
3673,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3674,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3675,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1
3677,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
3678,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3679,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1
3680,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1
3681,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3682,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3683,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3684,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
3685,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3688,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3689,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3690,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3691,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3692,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
3693,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3694,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3696,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3697,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3698,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3699,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3700,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3701,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3703,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3709,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3714,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3719,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3720,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3721,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3722,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3723,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3724,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3725,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3728,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3730,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3731,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
3736,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3738,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3739,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
3740,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3741,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3742,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1
3743,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3745,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3746,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3748,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3749,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1
3750,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3751,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3752,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3753,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3754,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3755,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3756,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3763,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3769,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3770,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3771,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1
3772,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3773,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3774,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3780,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
3784,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3785,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3788,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3789,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3790,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
3792,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3793,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3794,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3795,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3796,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
3797,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
3798,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3801,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1
3803,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3805,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3807,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3808,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3813,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3815,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3817,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
3820,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3821,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1
3823,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3831,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
3832,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3833,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3835,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3837,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
3838,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3839,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3840,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3841,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3842,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
3843,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
3844,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
3847,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3848,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3850,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
3851,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
3854,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
3855,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3856,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3857,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3858,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3859,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3860,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3861,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3863,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3865,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
3866,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3867,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3868,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3869,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3870,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3873,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
3875,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3882,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3892,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
3893,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
3894,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3895,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
3898,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3902,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3908,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
3915,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3916,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
3917,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3919,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
3920,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3925,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3927,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
3928,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
3929,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
3930,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3935,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
3936,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3937,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3940,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3943,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3952,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3958,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3959,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3960,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3961,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3970,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3977,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3979,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
3981,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
3982,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3983,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3984,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
3985,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
3986,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3987,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
3988,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
3989,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3990,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3991,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3992,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
3993,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
3994,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
3996,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
3998,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
3999,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4000,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4001,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4002,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
4003,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
4004,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4005,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
4006,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4007,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4008,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
4009,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
4011,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
4012,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4013,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4014,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4017,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4018,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
4021,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4022,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
4023,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
4025,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4026,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
4029,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4032,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4034,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4039,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
4041,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4045,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4049,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4055,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4057,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4061,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4063,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4067,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4071,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4072,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1
4077,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
4079,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4081,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
4085,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4086,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1
4087,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4091,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
4092,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4096,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4098,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4101,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
4104,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4108,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4115,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4118,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4121,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4123,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
4124,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4129,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1
4130,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4132,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
4134,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
4137,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4147,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4148,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4149,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
4150,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4156,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4161,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4164,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4165,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
4167,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4170,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4172,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4180,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
4181,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4182,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
4183,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4190,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4191,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
4193,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4205,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4210,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4212,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
4213,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
4215,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
4216,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
4217,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
4219,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4223,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
4224,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
4227,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4229,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4230,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
4236,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
4238,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4239,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4241,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
4244,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4246,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4247,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
4249,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4250,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4251,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4255,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4258,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
4259,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4260,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1
4261,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
4262,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
4274,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4276,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
4284,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
4287,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
4290,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4292,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1
4293,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
4294,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
4301,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4302,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4303,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
4304,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4305,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4308,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
4310,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
4318,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1
4319,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4320,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4328,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4330,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1
4335,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4342,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4345,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
4350,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4351,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4360,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
4361,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4362,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
4366,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
4368,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
4369,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4370,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
4372,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
4373,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
4378,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
4385,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1
4386,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
4387,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4388,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
4392,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
4397,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
4401,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1
4407,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
4410,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1
4417,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
4424,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
4425,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4426,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
4427,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4428,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
4429,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
4436,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
4437,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
4441,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
4444,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
4447,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
4450,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
4454,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
4456,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
4457,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
4458,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
4466,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
4469,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4470,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
4473,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
4475,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4477,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
4478,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
4479,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
4484,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
4485,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
4487,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
